Idade,Local de trabalho,Pontuação teste,Departmento,Distancia casa-trabalho,Educacao,Area,Possui carro,Subordinado,Satisfação com o ambiente no emprego atual,Genero,Horas voluntariado,Envolvimento com trabalho,Posicao,Cargo,Satisfação com emprego,Estado civil,Renda,Bonus de performance,Quantidade de empresas que trabalho,Maior de idade,Necessita de hora extra,Aumento de salario%,Performance na entrevista,Satisfação com a relação,Horas de trabalho padrão,Beneficios,Anos de experiencia,Horas de treinamento ultimo ano,Estilo de vida,Anos na última empresa,Anos na posição atual,Anos desde última promoção,Anos com a mesma gerência,Contratar
49,Cliente,279,Engenharia,8,Médio completo,Ciências das natureza,1,2,3,M,61,2,2,Engenheiro,2,Casado,5130,24907,1,1,Não,23,4,4,80,1,10,3,3,10,7,1,7,Não
33,Misto,1392,Engenharia,3,Superior incompleto - cursando,Ciências das natureza,1,5,4,F,56,3,1,Engenheiro,3,Casado,2909,23159,1,1,Sim,11,3,3,80,0,8,3,3,8,7,3,0,Não
27,Cliente,591,Engenharia,2,Médio completo,Medicina,1,7,1,M,40,3,1,Tecnico,2,Casado,3468,16632,9,1,Não,12,3,4,80,1,6,3,3,2,2,2,2,Não
32,Misto,1005,Engenharia,2,Superior incompleto,Ciências das natureza,1,8,4,M,79,3,1,Tecnico,4,Solteiro,3068,11864,0,1,Não,13,3,3,80,0,8,2,2,7,7,3,6,Não
59,Misto,1324,Engenharia,3,Superior completo,Medicina,1,10,3,F,81,4,1,Tecnico,1,Casado,2670,9964,4,1,Sim,20,4,1,80,3,12,3,2,1,0,0,0,Não
30,Cliente,1358,Engenharia,24,Médio completo,Ciências das natureza,1,11,4,M,67,3,1,Tecnico,3,Divorciado,2693,13335,1,1,Não,22,4,2,80,1,1,2,3,1,0,0,0,Não
38,Misto,216,Engenharia,23,Superior completo,Ciências das natureza,1,12,4,M,44,2,3,Supervisor,3,Solteiro,9526,8787,0,1,Não,21,4,2,80,0,10,2,3,9,7,1,8,Não
36,Misto,1299,Engenharia,27,Superior completo,Medicina,1,13,3,M,94,3,2,Analista,3,Casado,5237,16577,6,1,Não,13,3,2,80,2,17,3,2,7,7,7,7,Não
35,Misto,809,Engenharia,16,Superior completo,Medicina,1,14,1,M,84,4,1,Tecnico,2,Casado,2426,16479,0,1,Não,13,3,3,80,1,6,5,3,5,4,0,3,Não
29,Misto,153,Engenharia,15,Superior incompleto,Ciências das natureza,1,15,4,F,49,2,2,Tecnico,3,Solteiro,4193,12682,0,1,Sim,12,3,4,80,0,10,3,3,9,5,0,8,Não
